Country,Number
Albania,1
Algeria,2
Argentina,16
Armenia,1
Australia,2
Austria,4
Belgium,12
Bosnia and Herzegovina,3
Brazil,20
Cameroon,2
Chile,1
Colombia,3
Ivory Coast,8
Croatia,2
Cuba,1
Czech Republic,2
Denmark,6
Egypt,3
United Kingdom,184
Finland,1
France,27
Gabon,1
Germany,15
Ghana,3
Greece,2
Guinea,1
Iceland,2
Iran,1
Ireland,19
Italy,7
Jamaica,3
Japan,3
Kenya,1
Mali,2
Mexico,1
Morocco,2
Netherlands,17
New Zealand,1
Nigeria,5
Norway,4
Paraguay,2
Poland,2 
Portugal,17
Romania,1
Senegal,4
Republic of Serbia,2
Slovakia,2
South Korea,2
Spain,32
Sweden,2
Switzerland,6
United Republic of Tanzania,1
Democratic Republic of the Congo,1
Turkey,2
Ukraine,2
United States of America,3
Uruguay,1
Zimbabwe,1
